epoch;epsilon;loss;randomF1;oracleF1;rougeF1;rougeRecall;rougePrecision;actual;pred;nselect;nskip;query;testQuery;Test
0; 1.000; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
1; 0.997; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
2; 0.993; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
3; 0.990; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
4; 0.987; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
5; 0.983; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
6; 0.980; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
7; 0.977; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
8; 0.973; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
9; 0.970; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
10; 0.967; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
11; 0.963; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
12; 0.960; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
13; 0.957; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
14; 0.953; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
15; 0.950; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
16; 0.947; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
17; 0.943; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
18; 0.940; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
19; 0.937; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
20; 0.933; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
21; 0.930; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
22; 0.927; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
23; 0.923; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
24; 0.920; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
25; 0.917; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
26; 0.913; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
27; 0.910; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
28; 0.907; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
29; 0.903; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
30; 0.900; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
31; 0.897; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
32; 0.893; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
33; 0.890; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
34; 0.887; 0.000000; 0.000000; 0.095365; 0.000000; 0.000000; 0.000000; {min=0.000, max=0.000}; {min=-0.013, max=0.059}; 12; 7; 1; 1; true
